japanese_display_name,video_url,japanese_names,english_names
Ashi Garami,https://www.youtube.com/watch?v=3YXH_LrcqNc,Ashi Garami,"Entangled Leg Lock,Single Leg X (SLX)"
Ashi Guruma,https://www.youtube.com/watch?v=c7pqq2sC8Ng,Ashi Guruma,Leg Wheel
Ashi Hishigi,https://www.youtube.com/watch?v=n_djFU-uKS0,Ashi Hishigi,Straight Ankle Lock
Ashi Waza,https://www.youtube.com/watch?v=sAjqMwqFY_g,Ashi Waza,Foot Techniques (Throwing)
Daki Wakare,https://www.youtube.com/watch?v=858jvGv7pQE,Daki Wakare,High Lift and Separate
Daki-Age,https://www.youtube.com/watch?v=5lFXv3crN30,Daki Age,"Body Slam,High Lift"
De Ashi Harai,https://www.youtube.com/watch?v=gW9LEvVmG2o,"De Ashi Harai,De Ashi Barai",Forward Foot Sweep
Do Jime,https://www.youtube.com/watch?v=5thavLVKDoE,Do Jime,Trunk Lock
Drop Seoi Nage,https://www.youtube.com/watch?v=h2XVUAiv2mU,"Drop Seoi Nage,Drop Seoi",Drop Shoulder Throw
Gyaku Juji Jime,https://www.youtube.com/watch?v=6q6lgWeoi4Y,Gyaku Juji Jime,"Double Palm Up Cross Choke,Reverse Cross Strangle"
Hadaka Jime,https://www.youtube.com/watch?v=kTGDvZQ8sY0,Hadaka Jime,"Naked Strangle,Rear Naked Choke (RNC)"
Hane Goshi,https://www.youtube.com/watch?v=n7GP5S41Os8,Hane Goshi,Spring Hip Throw
Hane Goshi Gaeshi,https://www.youtube.com/watch?v=vqT3W-ByaEw,Hane Goshi Gaeshi,Spring Hip
Hane Makikomi,https://www.youtube.com/watch?v=wG5kQT7M8is,Hane Makikomi,"Spring Wrap-around Throw,Wing-Over"
Harai Goshi,https://www.youtube.com/watch?v=cs_zkgefvqM,Harai Goshi,Sweeping Hip Throw
Harai Goshi Gaeshi,https://www.youtube.com/watch?v=t2hgLa7BZbE,Harai Goshi Gaeshi,Sweeping Hip
Harai Makikomi,https://www.youtube.com/watch?v=MWd5CYkm2zI,Harai Makikomi,Sweeping Wrap Around
Harai Tsurikomi Ashi,https://www.youtube.com/watch?v=23ATiD6TsZs,Harai Tsurikomi Ashi,Lifting Pulling Foot Sweep
Hikikomi Gaeshi,https://www.youtube.com/watch?v=WV745XfBsgA,Hikikomi Gaeshi,Pulling-in Reversal
Hiza Guruma,https://www.youtube.com/watch?v=a1RZvytW3OI,Hiza Guruma,Knee Wheel
Ippon Seoi Nage,https://www.youtube.com/watch?v=OmKfUXAAdZ0,Ippon Seoi Nage,One Arm Shoulder Throw
Jigoku Jime,https://www.youtube.com/watch?v=5kHjF5OkwMs,Jigoku Jime,"Crucifix Choke,Hell Strangle AKA Okuri Eri Jime"
Juji Gatame,https://www.youtube.com/watch?v=WJReT5ND3s4,Ju Ji Gatame,"Armbar,Cross Lock"
Kake,https://www.youtube.com/watch?v=dQw4w9WgXcQ,Kake,The execution and completion of the throw
Kami Shiho Gatame,https://youtu.be/2evEh7OBnBg,Kami Shiho Gatame,"North South Position,Top four-corner hold"
Kani Basami,https://www.youtube.com/watch?v=1NFwJBKI-3E,Kani Basami,Flying Scissors
Kansetsu Waza,https://youtu.be/QtVipMcTsdw,Kansetsu Waza,Joint Lock Techniques
Kata Gatame,https://youtu.be/TFClghvGD9w,Kata Gatame,"Arm Triangle Choke,Head and Arm Choke,Shoulder hold"
Kata Guruma,https://www.youtube.com/watch?v=wRiFwMLCjPg,Kata Guruma,"Fireman's Carry,Shoulder Wheel"
Kata Ha Jime,https://www.youtube.com/watch?v=wcLI263QUdA,Kata Ha Jime,Single-wing strangle
Kata Juji Jime,https://www.youtube.com/watch?v=nQov7zhsnmc,Kata Juji Jime,"Half Cross Strangle,Palm up/Palm Down Cross Choke"
Kata Te Jime,https://www.youtube.com/watch?v=sLZeocx_n7A,Kata Te Jime,One-Hand Strangle
Katame Waza,,Katame Waza,Grappling Techniques (Non Throwing)
